"Plot","BA","TPA","biomass","bm_pa","Dom_species","Abundance","Ttl_Trees","richness.x","rel_abd","richness.y","Common.name","bm_tonpa"
"A5",100.228952078311,97.2383336728708,1202.62113250229,4872.53645684599,"Mixed",10,24,8,41.7,8,"Mixed",4.87253645684599
"A6",95.0790050405435,145.857500509306,1173.18123459025,4753.25784782654,"Mixed",16,36,9,44.4,9,"Mixed",4.75325784782654
"B4",52.5241562568486,97.2383336728708,824.52073937014,3340.62594896149,"Mixed",10,24,8,41.7,8,"Mixed",3.34062594896149
"B5",129.922744539411,149.909097745676,1321.63734550585,5354.74221653437,"Mixed",12,37,10,32.4,10,"Mixed",5.35474221653437
"B6",131.112723719775,218.786250763959,1377.20920400708,5579.89700485788,"VIP",36,54,7,66.7,7,"Virginia Pine",5.57989700485788
"C1",142.90754985755,109.39312538198,1128.47736044563,4572.13575488719,"Mixed",11,27,8,40.7,8,"Mixed",4.57213575488719
"C4",141.140370005114,153.960694982045,1657.24712064823,6714.49785399986,"CHO",28,38,4,73.7,4,"Chestnut oak",6.71449785399986
"C5",136.184286817883,141.805903272937,1210.85182934895,4905.88392544331,"Mixed",13,35,10,37.1,10,"Mixed",4.90588392544331
"C6",124.52971911754,113.444722618349,1278.15174226143,5178.55606660743,"Mixed",10,28,9,35.7,9,"Mixed",5.17855606660743
"C7",65.1931806560012,158.012292218415,1119.08544461493,4534.08349466331,"Mixed",12,39,12,30.8,12,"Mixed",4.53408349466331
"D1",171.798962670758,153.960694982045,1811.11787584611,7337.92018051772,"Mixed",18,38,10,47.4,10,"Mixed",7.33792018051771
"D3",147.511233472131,117.496319854719,1485.7609653063,6019.70502094084,"Mixed",8,29,7,27.6,7,"Mixed",6.01970502094084
"D4",140.389036817883,117.496319854719,1452.15648154901,5883.55318742021,"CHO",17,29,6,58.6,6,"Chestnut oak",5.88355318742021
"D5",137.086485499306,101.28993090924,1155.07384178775,4679.89398519008,"Mixed",8,25,10,32,10,"Mixed",4.67989398519008
"D6",103.228981298853,121.547917091089,1267.225877518,5134.28886320797,"Mixed",11,30,6,36.7,6,"Mixed",5.13428886320797
"D7",46.5170264445905,109.39312538198,759.691203469163,3077.96278046997,"Mixed",8,27,8,29.6,8,"Mixed",3.07796278046997
"E1",86.7971035137702,125.599514327458,1194.50264168408,4839.64360188344,"SUM",17,31,8,54.8,8,"Sugar maple",4.83964360188344
"E3",173.428029804953,162.063889454785,1714.55753876435,6946.69658565434,"Mixed",9,40,10,22.5,10,"Mixed",6.94669658565434
"E4",168.908318723062,121.547917091089,1654.30572914648,6702.5805203203,"CHO",23,30,7,76.7,7,"Chestnut oak",6.7025805203203
"E5",136.428626999781,133.702708800197,1363.51073497339,5524.39632557848,"Mixed",16,33,9,48.5,9,"Mixed",5.52439632557848
"E6",168.658610928483,145.857500509306,1778.12836461525,7204.25996798558,"CHO",22,36,6,61.1,6,"Chestnut oak",7.20425996798558
"E7",71.1961118416247,186.373472873002,1263.17185031192,5117.86357778366,"Mixed",18,46,10,39.1,10,"Mixed",5.11786357778366
"F1",77.733815472277,125.599514327458,1053.94135770148,4270.14589215896,"Mixed",9,31,13,29,13,"Mixed",4.27014589215896
"F2",127.85569435313,149.909097745676,1496.99288562023,6065.21223824389,"Mixed",10,37,8,27,8,"Mixed",6.06521223824389
"F3",120.73416063993,101.28993090924,1132.84703602799,4589.83992040052,"Mixed",12,25,5,48,5,"Mixed",4.58983992040052
"F4",117.184774271313,113.444722618349,1328.67691334885,5383.2637101523,"CHO",19,28,4,67.9,4,"Chestnut oak",5.38326371015229
"F5",108.12944152239,129.651111563828,1468.96086348303,5951.63777482295,"SUM",25,32,4,78.1,4,"Sugar maple",5.95163777482295
"F6",116.221299948864,170.167083927524,1498.53376301679,6071.45525284541,"Mixed",15,42,7,35.7,7,"Mixed",6.07145525284541
"F7",53.9088191248448,218.786250763959,1195.54211988755,4843.85514889989,"Mixed",15,54,9,27.8,9,"Mixed",4.84385514889989
"G2",124.117811746658,162.063889454785,1624.76250427854,6582.88327209191,"SUM",24,40,11,60,11,"Sugar maple",6.58288327209191
"G3",160.17296551976,117.496319854719,1532.11623519575,6207.51790431612,"Mixed",11,29,5,37.9,5,"Mixed",6.20751790431612
"G4",141.391624662138,129.651111563828,1505.57388968686,6099.97901060555,"Mixed",8,32,9,25,9,"Mixed",6.09997901060555
"G5",153.42864526262,141.805903272937,1638.96210772213,6640.41434616149,"Mixed",16,35,7,45.7,7,"Mixed",6.64041434616149
"G6",98.8820768500256,113.444722618349,1097.85759709635,4448.07680632296,"Mixed",14,28,6,50,6,"Mixed",4.44807680632296
"G7",72.850149755278,97.2383336728708,933.63338490003,3782.70644204337,"Mixed",9,24,8,37.5,8,"Mixed",3.78270644204337
"H2",109.115897801154,117.496319854719,1248.05732155311,5056.62559483547,"SUM",21,29,5,72.4,5,"Sugar maple",5.05662559483547
"H3",113.201161516546,101.28993090924,1103.6745714371,4471.64484348598,"Mixed",8,25,10,32,10,"Mixed",4.47164484348598
"H4",157.011399663964,137.754306036567,1657.06875032424,6713.77516928813,"Mixed",13,34,7,38.2,7,"Mixed",6.71377516928813
"H5",161.013353787713,141.805903272937,1496.28664925994,6062.35085295831,"Mixed",7,35,10,20,10,"Mixed",6.06235085295831
"H6",98.2438856015779,129.651111563828,1158.3286977391,4693.08135056737,"Mixed",11,32,9,34.4,9,"Mixed",4.69308135056737
"H7",45.1964478778581,72.9287502546531,607.485133206577,2461.2850868354,"Mixed",5,18,7,27.8,7,"Mixed",2.4612850868354
"I2",63.2129757469501,133.702708800197,975.667933295053,3953.01350215269,"Mixed",9,33,9,27.3,9,"Mixed",3.95301350215269
"I3",87.5168365110673,125.599514327458,900.72219089237,3649.36353935631,"Mixed",8,30,9,26.7,9,"Mixed",3.64936353935631
"I4",108.974912338374,121.547917091089,1089.54028049428,4414.37838936402,"Mixed",12,30,8,40,8,"Mixed",4.41437838936402
